Index	||	Polarization	||	Clock		||	Lambda				||	Neighbours		||	Ek
   23	||	2.7623		||	0.556444	||	0.416501 0.169607 0.906804	||	0000 0025 0097 0083 	||	8.843178 9.672770 1.837654 4.580390 
   24	||	1.0317		||	0.126075	||	0.495444 0.760475 0.984752	||	0012 0027 0082 0021 	||	7.802239 7.664476 9.047815 2.575854 
   25	||	9.3500		||	0.684445	||	0.383188 0.749771 0.368664	||	0093 0034 0039 0034 	||	7.616124 9.635047 3.318458 4.023787 
   26	||	2.9416		||	0.232262	||	0.584489 0.244413 0.152390	||	0021 0059 0085 0057 	||	5.607845 5.544482 6.221666 1.910277 
   27	||	7.3215		||	0.125475	||	0.793470 0.164102 0.745071	||	0054 0061 0062 0072 	||	4.779609 3.601051 6.538799 9.165227 
   28	||	0.7453		||	0.950104	||	0.052529 0.521563 0.176211	||	0041 0016 0052 0050 	||	2.106915 6.065422 8.654335 1.097777 
   29	||	2.4006		||	0.797798	||	0.732654 0.656564 0.967405	||	0062 0082 0099 0017 	||	3.735559 1.990027 6.465202 5.926919 
   30	||	6.3946		||	0.759735	||	0.093480 0.134902 0.520210	||	0054 0073 0015 0006 	||	6.765540 5.963406 0.588605 5.608718 
   31	||	0.7823		||	0.069906	||	0.204655 0.461420 0.819677	||	0051 0064 0090 0063 	||	5.636174 2.426258 0.189108 3.438414 
   32	||	5.7332		||	0.755581	||	0.051939 0.157807 0.999994	||	0091 0072 0037 0037 	||	0.090734 9.236923 6.014267 7.706859 
   33	||	2.0433		||	0.889956	||	0.125468 0.997799 0.054058	||	0059 0028 0071 0080 	||	8.871970 9.332726 1.730646 4.479815 
   34	||	8.7054		||	0.072329	||	0.004162 0.923069 0.593892	||	0087 0056 0090 0041 	||	4.877207 7.952313 6.390092 9.656816 
   35	||	1.8037		||	0.163132	||	0.391690 0.913027 0.819695	||	0070 0052 0065 0011 	||	1.553364 2.928891 8.822042 3.660280 
   36	||	3.5910		||	0.552485	||	0.579430 0.452576 0.687387	||	0069 0017 0061 0083 	||	8.994313 7.476377 4.758057 2.729871 
   37	||	0.9964		||	0.530808	||	0.757294 0.304295 0.992228	||	0051 0012 0000 0006 	||	9.466405 1.223258 8.656790 6.231945 
   38	||	5.7697		||	0.877614	||	0.747809 0.628910 0.035421	||	0038 0067 0064 0089 	||	7.186663 9.245395 1.840662 2.822838 
   39	||	7.4780		||	0.833239	||	0.925377 0.873271 0.831038	||	0032 0054 0004 0075 	||	1.671654 2.029770 6.261251 1.762388 
   40	||	9.7943		||	0.743811	||	0.903366 0.983596 0.666880	||	0079 0041 0012 0038 	||	1.266692 2.275519 9.469247 0.138663 
   41	||	4.9726		||	0.163968	||	0.830012 0.888949 0.076995	||	0069 0036 0070 0056 	||	1.608244 1.199893 4.618478 6.485452 
   42	||	6.4971		||	0.248044	||	0.629480 0.229137 0.700620	||	0044 0060 0049 0014 	||	9.152205 1.008570 6.142267 0.705570 
   43	||	3.1687		||	0.328777	||	0.231428 0.074161 0.633072	||	0065 0014 0026 0086 	||	3.937461 4.964310 4.365849 2.931774 
   44	||	2.2366		||	0.651132	||	0.510686 0.971466 0.280042	||	0083 0039 0069 0035 	||	2.440687 9.123905 5.661645 1.907092 
   45	||	5.4611		||	0.719269	||	0.113281 0.471483 0.592540	||	0052 0021 0093 0090 	||	0.347164 4.318435 8.139037 7.533827 
   46	||	9.4432		||	0.450918	||	0.336351 0.847684 0.434513	||	0089 0009 0031 0073 	||	3.563830 9.979698 0.356664 5.235484 
   47	||	0.0323		||	0.344943	||	0.598481 0.833243 0.233892	||	0064 0035 0048 0095 	||	2.009469 6.617916 6.997871 3.276161 
   48	||	6.7548		||	0.482950	||	0.481936 0.304956 0.712087	||	0077 0013 0033 0098 	||	8.893435 6.467118 3.414824 0.501679 
   49	||	1.8256		||	0.621823	||	0.040864 0.413984 0.695984	||	0049 0055 0055 0093 	||	7.667012 8.033302 6.987130 6.819217 
   50	||	6.7394		||	0.637640	||	0.347116 0.184622 0.609106	||	0068 0056 0060 0033 	||	9.041871 3.129397 7.524787 2.979332 
   51	||	6.2716		||	0.730729	||	0.328374 0.740438 0.202213	||	0023 0086 0071 0058 	||	8.093707 1.890636 5.911106 0.534394 
   52	||	9.2091		||	0.684757	||	0.653130 0.257265 0.532441	||	0077 0040 0045 0081 	||	1.014542 1.572751 2.441486 1.361705 
   53	||	0.8764		||	0.260497	||	0.877384 0.686125 0.093740	||	0061 0090 0023 0050 	||	5.891186 0.580523 8.895532 9.455016 
   54	||	1.1128		||	0.361601	||	0.576690 0.593211 0.666557	||	0000 0054 0075 0064 	||	0.560222 9.252196 4.690500 2.569691 
   55	||	2.8878		||	0.775767	||	0.288379 0.329642 0.189751	||	0042 0024 0059 0019 	||	5.870112 1.688372 5.845852 4.763546 
   56	||	9.8436		||	0.003579	||	0.827391 0.331479 0.188201	||	0089 0044 0069 0038 	||	8.155490 9.260675 5.265226 5.822501 
   57	||	4.3650		||	0.958637	||	0.918930 0.764871 0.699075	||	0051 0076 0083 0019 	||	7.293977 2.252356 2.641719 6.335849 
   58	||	1.2114		||	0.685786	||	0.383832 0.774274 0.943051	||	0033 0043 0004 0056 	||	5.381753 0.166506 9.315181 3.475460 
   59	||	9.1627		||	0.861917	||	0.203548 0.793657 0.548042	||	0081 0075 0066 0011 	||	2.057142 5.226287 4.009853 3.071683 
   60	||	2.9729		||	0.904932	||	0.909643 0.873979 0.498144	||	0067 0012 0092 0029 	||	6.799037 6.451340 4.433389 2.690223 
   61	||	5.7620		||	0.162757	||	0.273911 0.864579 0.492399	||	0002 0068 0031 0002 	||	7.031863 3.328921 2.145240 7.592084 
   62	||	4.6366		||	0.848942	||	0.495977 0.291053 0.180421	||	0074 0007 0018 0016 	||	2.581117 6.835740 0.161775 8.451229 
   63	||	6.8418		||	0.727550	||	0.139058 0.603109 0.492422	||	0083 0077 0087 0072 	||	8.524112 6.007627 3.214775 6.679602 
   64	||	8.3813		||	0.724252	||	0.178208 0.221966 0.498525	||	0073 0057 0062 0025 	||	5.268302 8.480001 2.502103 2.562279 
   65	||	1.2126		||	0.138238	||	0.360443 0.324807 0.931895	||	0033 0097 0096 0018 	||	0.732357 5.143822 8.898127 6.114109 
   66	||	9.0848		||	0.622095	||	0.836828 0.818128 0.496074	||	0041 0053 0026 0074 	||	5.310328 8.213308 9.589569 7.367470 
   67	||	3.3497		||	0.394327	||	0.658831 0.608883 0.258906	||	0080 0093 0085 0048 	||	3.439595 3.599422 0.439153 0.238632 
   68	||	1.5123		||	0.072545	||	0.107848 0.647207 0.363598	||	0005 0030 0029 0059 	||	0.050762 4.872542 2.928856 7.082624 
   69	||	2.8827		||	0.331386	||	0.091149 0.427328 0.934495	||	0098 0060 0062 0024 	||	8.201462 5.074096 4.674709 0.782579 
   70	||	5.8357		||	0.265461	||	0.658747 0.761778 0.487427	||	0019 0080 0041 0002 	||	1.909835 4.836483 9.233808 0.433947 
   71	||	1.5727		||	0.883037	||	0.625665 0.517715 0.207844	||	0010 0080 0026 0083 	||	0.844110 2.448583 7.113548 6.112411 
   72	||	5.5756		||	0.426199	||	0.829939 0.394388 0.244327	||	0089 0040 0008 0023 	||	0.928584 9.615652 8.674690 1.660941 
   73	||	3.2601		||	0.729360	||	0.638654 0.984845 0.338243	||	0038 0057 0093 0031 	||	4.759473 7.572818 7.775050 0.069801 
   74	||	8.9756		||	0.136075	||	0.410788 0.005409 0.783282	||	0010 0020 0005 0090 	||	5.786126 7.364619 7.437271 9.225720 
   75	||	7.7439		||	0.293678	||	0.114668 0.865535 0.721006	||	0013 0091 0038 0070 	||	0.964041 7.876424 9.464352 1.014803 
   76	||	0.4916		||	0.449105	||	0.986467 0.707909 0.210883	||	0021 0067 0029 0071 	||	2.748965 2.393208 8.097427 0.950428 
   77	||	4.7389		||	0.865181	||	0.093920 0.099559 0.382896	||	0080 0043 0095 0099 	||	7.467303 2.772136 1.733006 9.377138 
   78	||	3.0176		||	0.657120	||	0.809095 0.131702 0.051508	||	0024 0088 0054 0086 	||	7.608620 0.966814 9.811086 8.452730 
   79	||	0.5342		||	0.457716	||	0.780868 0.692076 0.442560	||	0069 0032 0069 0010 	||	3.415397 6.924634 4.565142 4.343981 
   80	||	1.1911		||	0.589637	||	0.578635 0.529899 0.595045	||	0073 0030 0033 0063 	||	6.540287 3.239832 6.004922 1.299760 
   81	||	3.6192		||	0.304285	||	0.888723 0.476585 0.169820	||	0087 0079 0094 0049 	||	0.812650 3.779972 1.369561 6.598776 
   82	||	6.0973		||	0.525747	||	0.618925 0.596196 0.233656	||	0099 0051 0039 0064 	||	1.144590 8.806831 5.824496 2.108632 
   83	||	8.2981		||	0.070090	||	0.098837 0.923728 0.169649	||	0042 0030 0086 0015 	||	6.683255 5.288848 3.123435 9.432221 
   84	||	4.8173		||	0.225491	||	0.826769 0.290829 0.357193	||	0049 0015 0086 0081 	||	7.682056 1.220863 0.382648 5.149360 
   85	||	8.7828		||	0.344251	||	0.814909 0.659146 0.036327	||	0011 0034 0033 0087 	||	3.992999 2.115655 4.526498 1.601619 
   86	||	2.5747		||	0.778257	||	0.625964 0.836104 0.308157	||	0022 0087 0073 0043 	||	3.082469 4.337584 0.054349 6.497865 
   87	||	2.2101		||	0.198021	||	0.612442 0.109733 0.674605	||	0019 0042 0054 0044 	||	1.262219 4.619491 0.841846 7.802505 
   88	||	7.8226		||	0.719462	||	0.200352 0.401188 0.315658	||	0024 0039 0059 0063 	||	7.859323 6.846768 9.102265 8.671973 
   89	||	4.3401		||	0.230996	||	0.385748 0.532846 0.154724	||	0018 0053 0012 0069 	||	0.626740 0.471826 5.270749 1.771330 
   90	||	5.5540		||	0.014579	||	0.380215 0.382167 0.305408	||	0005 0004 0033 0099 	||	9.278658 1.095246 3.879961 5.961914 
   91	||	7.3741		||	0.260445	||	0.649659 0.552316 0.919591	||	0034 0019 0015 0035 	||	6.384094 7.003396 5.394134 4.066151 
   92	||	6.8599		||	0.809785	||	0.697848 0.311950 0.645889	||	0087 0053 0069 0050 	||	8.224258 5.776783 9.215509 2.217257 
   93	||	0.0600		||	0.532960	||	0.843910 0.618447 0.642693	||	0087 0002 0037 0062 	||	7.892437 3.742008 3.818877 0.974906 
   94	||	5.1851		||	0.400709	||	0.362154 0.718867 0.801897	||	0089 0010 0005 0060 	||	8.079593 3.873225 7.472772 9.341811 
   95	||	6.7781		||	0.152876	||	0.032893 0.063561 0.685722	||	0004 0011 0057 0029 	||	8.492716 8.314618 7.144317 6.352039 
   96	||	1.8762		||	0.618958	||	0.700301 0.567831 0.001125	||	0003 0016 0092 0021 	||	5.161386 6.246582 5.024013 5.788126 
   97	||	0.0571		||	0.305239	||	0.261570 0.655368 0.857555	||	0022 0005 0043 0079 	||	6.718408 0.294762 7.559455 5.997066 
   98	||	1.8116		||	0.341354	||	0.667341 0.879009 0.653305	||	0061 0028 0078 0047 	||	1.390008 1.439416 1.958979 7.774103 
   99	||	3.1323		||	0.885014	||	0.186265 0.157139 0.503461	||	0000 0045 0082 0087 	||	8.442813 7.353113 1.840253 6.667071 
